Test_Sample_ID,Original_CSV_Index,Actual_7d_CS,Actual_28d_CS,Predicted_3d_CS,Predicted_7d_CS,Predicted_14d_CS,Predicted_28d_CS,Uncertainty_3d,Uncertainty_7d,Uncertainty_14d,Uncertainty_28d,7d_Error,28d_Error
96,752,30.152,32.072,30.180693,30.22487,36.565495,36.603485,1.1672058,1.178352,1.2489785,1.2598598,0.072870255,4.5314865
97,140,29.6,34.8,21.952023,22.08864,28.092056,28.209545,1.6492234,1.7021011,1.8415185,1.8993164,7.51136,6.590454
98,1517,14.030001,23.68,16.857588,17.041412,22.826916,22.985,1.4534388,1.4519002,1.5300254,1.5383347,3.0114117,0.6949997
99,372,33.10984,35.9556,24.617563,25.126928,31.606499,32.044537,2.131367,2.1332734,2.2539566,2.2740507,7.982912,3.9110641
100,379,48.296318,49.1852,41.558914,42.015015,49.313725,49.705956,2.2994843,2.2518542,2.3351715,2.3115737,6.2813034,0.52075577
101,732,46.32,51.46,46.31058,48.987297,58.552757,60.854645,3.2166922,3.3505142,3.6995497,3.925078,2.6672974,9.394646
102,1462,9.03953,9.538021,6.9280205,6.9506607,12.080742,12.100216,2.6207016,2.6316237,2.7759538,2.7856395,2.088869,2.5621948
103,921,42.42,44.64,29.36795,29.420729,35.72757,35.772957,1.0543673,1.0634742,1.1289212,1.142648,12.9992695,8.867043
104,344,52.260002,53.079998,46.246727,46.34871,53.56484,53.652542,1.8410476,1.7988935,1.8595719,1.8326756,5.911293,0.5725441
105,1601,48.600002,51.9,44.349712,44.493267,51.650127,51.773575,1.8488386,1.8202407,1.893487,1.8778042,4.106735,0.1264267
106,586,50.9703,49.8362,42.50647,43.55902,51.44974,52.354897,2.917034,2.7841742,2.8737223,2.8792188,7.411278,2.5186958
107,814,8.9,10.800001,8.37706,8.408764,13.621323,13.648581,1.7739987,1.7775714,1.8719252,1.8754543,0.49123573,2.8485794
108,794,16.0047,18.7985,26.431948,26.513397,32.69599,32.766037,1.6097103,1.5990174,1.6735711,1.667922,10.5086975,13.967537
109,1194,22.5717,21.829,12.370663,12.460756,17.93107,18.008554,1.787051,1.8068544,1.9180199,1.9380366,10.110943,3.820446
110,723,43.204502,61.3145,36.151318,41.046318,52.112713,56.322243,1.748684,1.643741,1.848072,2.1263316,2.158184,4.992256
111,938,31.08708,35.205875,26.032621,26.05914,32.17122,32.194023,1.0156945,1.0218302,1.0798753,1.085971,5.0279408,3.0118523
112,1505,11.52,20.070002,15.895971,16.075426,21.807703,21.962025,1.2393575,1.2467644,1.330439,1.361815,4.5554256,1.8920231
113,1523,23.24,36.11,21.810818,25.251335,34.257973,37.2167,1.6242763,1.6311033,1.8492105,2.0766976,2.0113354,1.1067009
114,1529,10.859999,19.42,16.365652,16.577488,22.363323,22.545498,1.882546,1.8426025,1.9087145,1.8862052,5.7174892,3.1254978
115,1005,33.12,43.392002,28.10706,28.15328,34.38956,34.42931,2.1076782,2.111709,2.2246811,2.2307076,4.9667187,8.962692
116,926,29.84,39.05,26.009327,26.070208,32.21241,32.264763,1.7381206,1.7494141,1.8503368,1.8630838,3.7697926,6.7852364
117,594,48.0408,48.7669,49.650616,51.726128,60.91485,62.699715,2.3983243,2.0303588,1.9322702,1.870328,3.6853294,13.932816
118,1330,28.0126,32.2257,29.36433,29.377449,35.647957,35.65924,0.74658036,0.744436,0.78089046,0.7793733,1.3648491,3.4335403
119,1220,37.0519,56.2186,33.162716,39.425243,51.584644,56.970215,1.8343545,1.7362379,1.9056964,2.1183848,2.3733444,0.7516136
120,591,41.613,45.8666,40.81413,42.28122,50.462982,51.724632,2.7510488,2.7453616,2.941604,3.048682,0.6682205,5.858032
