Model,Prior MAE,Post MAE,MAE Imp.,Prior RMSE,Post RMSE,RMSE Imp.,Prior MPIW,Post MPIW,MPIW Imp.,Prior 95% Cov,Post 95% Cov,Prior ≤10.0MPa,Post ≤10.0MPa
Global Scaler,4.72,35.47,-651.2%,6.42,35.62,-454.6%,10.34,7.90,23.6%,71.1%,0.0%,48.8%,79.3%
Max Normalization,4.81,2.03,57.9%,6.51,3.06,53.0%,13.01,9.50,27.0%,66.9%,95.0%,35.5%,58.7%
