solution_name,sample_idx,sample_num,actual_7d,actual_28d,prior_mean_7d,prior_std_7d,posterior_mean_7d,posterior_std_7d,prior_mean_14d,prior_std_14d,posterior_mean_14d,posterior_std_14d,prior_mean_21d,prior_std_21d,posterior_mean_21d,posterior_std_21d,prior_mean_28d,prior_std_28d,posterior_mean_28d,posterior_std_28d,prior_mean_56d,prior_std_56d,posterior_mean_56d,posterior_std_56d,prior_mean_90d,prior_std_90d,posterior_mean_90d,posterior_std_90d,prior_error_28d,posterior_error_28d,improvement_28d,improvement_pct_28d,prior_uncertainty_28d,posterior_uncertainty_28d,uncertainty_reduction_28d,uncertainty_reduction_pct_28d,prior_posterior_ratio_28d,is_improved,significant_improvement
Global Scaler,68,69,21.3904,26.44744,-36.748512,11.23898,-30.009222,0.004871421,-36.646965,11.376366,-29.907675,0.004871421,-36.577614,11.475219,-29.838316,0.004871421,-36.5291,11.546741,-29.789808,0.004871421,-36.416252,11.720399,-29.676962,0.004871421,-36.338333,11.846082,-29.599043,0.004871421,62.97653851074219,56.23724827331543,6.739290237426758,10.701271293717115,11.546741,0.004871421,11.541869,99.95781183242798,0.8929872870628288,True,True
Global Scaler,69,70,44.8,46.88,30.6087,5.479481,43.05707,1.4217417,31.177727,5.496959,43.625458,1.4219809,31.566322,5.524939,44.01188,1.4227893,31.83819,5.552143,44.280045,1.4241681,32.470528,5.6391244,44.88358,1.4348246,32.907135,5.7178936,45.25377,1.4590113,15.041809921264651,2.59995544433594,12.441854476928711,82.7151422738006,5.552143,1.4241681,4.127975,74.34921860694885,0.17284857726199393,True,True
Global Scaler,70,71,17.8322,24.3357,-58.810028,12.86148,12.07089,0.014112655,-58.438263,13.186373,12.442654,0.014112655,-58.18438,13.429482,12.696535,0.014112655,-58.00676,13.609244,12.874151,0.014112655,-57.593636,14.056264,13.287277,0.014112655,-57.30838,14.386958,13.572531,0.014112655,82.34245964355469,11.4615487701416,70.88091087341309,86.08063346691787,13.609244,0.014112655,13.595132,99.89629983901978,0.13919366533082117,True,True
Global Scaler,71,72,25.96,28.904,-15.225504,8.363151,25.793972,0.01435132,-14.978895,8.411152,26.040579,0.01435132,-14.810488,8.446937,26.20899,0.01435132,-14.692663,8.473402,26.326813,0.01435132,-14.418619,8.539441,26.600857,0.01435132,-14.229403,8.58864,26.790073,0.01435132,43.59666319274902,2.577187255859375,41.01947593688965,94.08856763999313,8.473402,0.01435132,8.459051,99.83063340187073,0.05911432360006882,True,True
Global Scaler,72,73,24.0438,38.8586,-28.151796,10.189391,24.162594,0.019240363,-23.9942,11.113616,28.32019,0.019240363,-21.154943,11.843368,31.159447,0.019240363,-19.168535,12.392819,33.145855,0.019240363,-14.548384,13.770852,37.766006,0.019240363,-11.358316,14.78779,40.956074,0.019240363,58.02713523254395,5.712745050048831,52.31439018249512,90.15504551938504,12.392819,0.019240363,12.373579,99.84474778175354,0.09844954480614948,True,True
Global Scaler,73,74,47.16,52.79,6.5742226,8.099221,45.591175,0.03079269,6.9274883,8.142327,45.94444,0.03079269,7.1687336,8.17505,46.185684,0.03079269,7.337517,8.199509,46.354465,0.03079269,7.7300835,8.261308,46.747032,0.03079269,8.001137,8.307923,47.018085,0.03079269,45.45248321533203,6.4355345153808585,39.01694869995117,85.8411816910148,8.199509,0.03079269,8.168716,99.62446093559265,0.14158818308985205,True,True
Global Scaler,74,75,32.5843,37.9775,9.672617,4.8701444,29.452122,0.6447683,12.285967,5.04326,32.064945,0.64481574,14.070646,5.2011003,33.847843,0.6449766,15.31925,5.328923,35.0934,0.64525056,18.223354,5.6755366,37.973835,0.64737576,20.228544,5.9500794,39.924335,0.65225047,22.658249893188476,2.8841009521484366,19.77414894104004,87.27129868483155,5.328923,0.64525056,4.683673,87.89154291152954,0.12728701315168456,True,True
Global Scaler,75,76,10.0192,11.0138,-16.566664,8.131794,8.90839,0.18444268,-16.293535,8.29827,9.181519,0.18444268,-16.107012,8.414177,9.368038,0.18444268,-15.976522,8.496294,9.498531,0.18444268,-15.673006,8.690402,9.802044,0.18444268,-15.463438,8.826853,10.011614,0.18444268,26.99032244567871,1.5152686584472654,25.475053787231445,94.38588160072216,8.496294,0.18444268,8.3118515,97.8291392326355,0.05614118399277841,True,True
Global Scaler,76,77,44.16,43.12,24.03788,4.8809013,42.087147,1.219864,24.827911,4.958517,42.876747,1.2199808,25.367434,5.0426674,43.41481,1.2203754,25.744894,5.1158314,43.78979,1.2210467,26.622824,5.3284326,44.64841,1.226263,27.229008,5.5069747,45.20996,1.2382108,17.375105972290037,0.6697911071777369,16.7053148651123,96.14511066438429,5.1158314,1.2210467,3.8947847,76.13199949264526,0.0385488933561571,True,True
Global Scaler,77,78,10.08,27.44,-30.119833,9.907967,9.780354,0.052541215,-23.847094,11.065993,16.053093,0.052541215,-19.563375,12.189819,20.33681,0.052541215,-16.566393,13.095195,23.33379,0.052541215,-9.595766,15.472571,30.304417,0.052541215,-4.7827663,17.2705,35.117416,0.052541215,44.00639289855957,4.106210174560548,39.90018272399902,90.66905987040134,13.095195,0.052541215,13.042654,99.59877729415894,0.09330940129598657,True,True
Global Scaler,78,79,55.3153,57.8378,20.790596,3.926828,53.770927,0.92824686,24.431925,3.9732363,57.41082,0.928611,26.918625,4.0437737,59.892647,0.9298429,28.658377,4.1109357,61.6241,0.931939,32.70483,4.3194704,65.60598,0.94806916,35.49878,4.5018773,68.25093,0.9841652,29.179423306274415,3.786299731445311,25.393123574829104,87.02407620704709,4.1109357,0.931939,3.1789966,77.3302435874939,0.12975923792952918,True,True
Global Scaler,79,80,21.4342,34.0268,-37.374687,7.950668,21.226543,0.015664797,-34.429596,8.264501,24.171627,0.015664797,-32.418373,8.589822,26.182856,0.015664797,-31.011267,8.865094,27.589954,0.015664797,-27.73852,9.635892,30.862705,0.015664797,-25.478796,10.257434,33.12243,0.015664797,65.03806670837403,6.436845623779298,58.601221084594734,90.10295669974072,8.865094,0.015664797,8.849429,99.82329607009888,0.09897043300259288,True,True
Global Scaler,80,81,19.1,23.1,-53.79045,11.420046,-15.902662,0.010286153,-53.70665,11.48462,-15.818861,0.010286153,-53.649414,11.52959,-15.761629,0.010286153,-53.609383,11.561461,-15.72159,0.010286153,-53.51625,11.6368885,-15.628466,0.010286153,-53.45195,11.690014,-15.564165,0.010286153,76.70938262939453,38.82159004211426,37.887792587280266,49.391340783339736,11.561461,0.010286153,11.551175,99.91102814674377,0.5060865921666027,True,True
Global Scaler,81,82,29.552,34.04,13.45546,7.197609,28.738243,0.10057848,13.538723,7.252138,28.821505,0.10057848,13.595585,7.290746,28.878368,0.10057848,13.635366,7.3184075,28.918148,0.10057848,13.727894,7.3847804,29.010675,0.10057848,13.79178,7.4322367,29.074562,0.10057848,20.404633560180663,5.121851959228515,15.282781600952148,74.89858397053631,7.3184075,0.10057848,7.217829,98.62567782402039,0.2510141602946368,True,True
