Idx_Sample,Ref.,Mixture Code in Ref,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,OPC (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),MK (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg in 1m3 mix),Total aggregates (kg in 1m3 mix),Coarse Agg density (kg/m3),Fine Agg density (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Na2O (l),SiO2 (l),H2O,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,AL/B,SH/SS,Ms,Ag/B,W/B,Additional water (kg in 1m3 mix),Sp/B,Superplasticizer (kg in 1m3 mix),Total water (in solutions + additional) (kg in 1m3 mix),Initial curing temp (C),Final curing temp (C),7d CS,28d CS,1-d Cubic compressive strength (MPa),3-d Cubic compressive strength (MPa),7-d Cubic compressive strength (MPa),14-d Cubic compressive strength (MPa) ,21-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),56-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,180-d Cubic compressive strength (MPa),365-d Cubic compressive strength (MPa) ,1-d Cylindrical compressive strength (MPa),2-d Cylindrical compressive strength (MPa),3-d Cylindrical compressive strength (MPa),4-d Cylindrical compressive strength (MPa),5-d Cylindrical compressive strength (MPa),7-d Cylindrical compressive strength (MPa),12-d Cylindrical compressive strength (MPa),14-d Cylindrical compressive strength (MPa),21-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Cylindrical compressive strength (MPa) ,365-d Cylindrical compressive strength (MPa),Slump (mm),flowtable,"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
806,[57],FA 50-GGBS50,48.105,22.12,1.792,17.74,3.895,0.0,0.0,1.025,0.25,0.0,0.0,0.0,1.195,,204.5,204.5,,,,1290.0,549.0,1839.0,2.58,2.62,102.0,13.70%,29.40%,57%,41.0,10.0,0.349633252,0.401960784,2.1,4.5,0.3,0.0,0.0,0.0,137.638,25.0,24.0,40.0,53.5,,,40.0,46.5,,53.5,63.0,,,,,,,,,,,,,,,,,,,,88.4052
807,[57],FA 75-GGBS25,56.87388753,25.06718826,2.397476773,9.349535452,2.44396088,0.0,0.0,0.611491443,0.375305623,0.0,0.0,0.0,0.741393643,,307.0,102.0,,,,1290.0,549.0,1839.0,2.58,2.62,102.0,13.70%,29.40%,57%,41.0,10.0,0.349633252,0.401960784,2.1,4.5,0.3,0.0,0.0,0.0,137.638,25.0,24.0,21.3,35.4,,,21.3,30.5,,35.4,49.0,,,,,,,,,,,,,,,,,,,,83.4852
808,[57],FA 100-GGBS0,65.6,28.0,3.0,1.0,1.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.29,,409.0,0.0,,,,1290.0,549.0,1839.0,2.58,2.62,102.0,13.70%,29.40%,57%,41.0,10.0,0.349633252,0.401960784,2.1,4.5,0.3,0.0,0.0,0.0,137.638,25.0,24.0,10.1,24.5,,,10.1,18.2,,24.5,38.0,,,,,,,,,,,,,,,,,,,,78.5892
809,[58],Mix no.1,60.24285714,27.0047619,2.162857143,3.433333333,1.096666667,0.476190476,0.952380952,0.485714286,0.0,0.0,0.0,0.0,2.495238095,20.0,400.0,,,,,865.0,865.0,1730.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.333333333,0.4,2.6,4.1,0.3,0.0,0.025,10.5,114.2,50.0,24.0,29.1667,31.9444,,,29.1667,,,31.9444,,,,,,,,,,,,,,,,,,,80.0,,163.5513333
810,[58],Mix no.2,58.37272727,26.00909091,2.22,6.1,1.184545455,0.454545455,0.909090909,0.563636364,0.0,0.0,0.0,0.0,2.490909091,40.0,400.0,,,,,857.0,857.0,1714.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.318181818,0.4,2.6,3.9,0.3,0.0,0.023863636,10.5,114.2,50.0,24.0,32.7778,38.0556,,,32.7778,,,38.0556,,,,,,,,,,,,,,,,,,,50.0,,180.2745333
811,[58],Mix no.3,56.66521739,25.1,2.272173913,8.534782609,1.264782609,0.434782609,0.869565217,0.634782609,0.0,0.0,0.0,0.0,2.486956522,60.0,400.0,,,,,850.0,850.0,1700.0,2.5,2.67,100.0,11.40%,30.10%,59%,40.0,16.0,0.304347826,0.4,2.6,3.7,0.2,0.0,0.022826087,10.5,114.2,50.0,24.0,41.3889,43.8889,,,41.3889,,,43.8889,,,,,,,,,,,,,,,,,,,30.0,,197.0073333
812,[58],Mix no.4,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,0.0,350.0,,,,,920.0,920.0,1840.0,2.5,2.67,86.42857143,11.40%,30.10%,59%,10.5015748,16.0,0.276943275,0.121505824,2.6,5.3,0.3,0.0,0.03,10.5,104.3064286,50.0,24.0,18.3529,22.1614,,,18.3529,,,22.1614,,,,,,,,,,,,,,,,,,,80.2174,,135.5403619
813,[58],Mix no.5,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,0.0,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,10.50156863,16.0,0.276253922,0.105015686,2.6,4.4,0.3,0.0,0.02625,10.5,114.2,50.0,24.0,25.4146,27.3115,,,25.4146,,,27.3115,,,,,,,,,,,,,,,,,,,90.0,,146.8473333
814,[58],Mix no.6,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,0.0,450.0,,,,,830.0,830.0,1660.0,2.5,2.67,112.5,11.40%,30.10%,59%,10.5015625,16.0,0.273336806,0.093347222,2.6,3.7,0.3,0.0,0.023333333,10.5,123.3125,50.0,24.0,33.0189,38.1929,,,33.0189,,,38.1929,,,,,,,,,,,,,,,,,,,99.7826,,157.2433333
815,[58],Mix no.7,62.3,28.1,2.1,0.5,1.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,2.5,0.0,400.0,,,,,875.0,875.0,1750.0,2.5,2.67,100.0,11.40%,30.10%,59%,10.50156863,16.0,0.276253922,0.105015686,2.6,4.4,0.3,0.0,0.02625,10.5,114.2,50.0,24.0,32.2222,35.2859,,,32.2222,,,35.2859,,,,,,,,,,,,,,,,,,,171.25,,146.8473333
