Idx_Sample,Ref.,Mixture Code in Ref,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,OPC (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),MK (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg in 1m3 mix),Total aggregates (kg in 1m3 mix),Coarse Agg density (kg/m3),Fine Agg density (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Na2O (l),SiO2 (l),H2O,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,AL/B,SH/SS,Ms,Ag/B,W/B,Additional water (kg in 1m3 mix),Sp/B,Superplasticizer (kg in 1m3 mix),Total water (in solutions + additional) (kg in 1m3 mix),Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),7d CS,28d CS,1-d Cubic compressive strength (MPa),3-d Cubic compressive strength (MPa),7-d Cubic compressive strength (MPa),14-d Cubic compressive strength (MPa) ,21-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),56-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,180-d Cubic compressive strength (MPa),365-d Cubic compressive strength (MPa) ,1-d Cylindrical compressive strength (MPa),2-d Cylindrical compressive strength (MPa),3-d Cylindrical compressive strength (MPa),4-d Cylindrical compressive strength (MPa),5-d Cylindrical compressive strength (MPa),7-d Cylindrical compressive strength (MPa),12-d Cylindrical compressive strength (MPa),14-d Cylindrical compressive strength (MPa),21-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Cylindrical compressive strength (MPa) ,365-d Cylindrical compressive strength (MPa),Slump (mm),flowtable,"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
464,[30],B22,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1041.2025,800.925,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,2,55,0,24,30.8885248,,,,,,,,,,,,,,27.3721972,,,38.610656,,,,,,,,,,,143.1687234
465,[30],B23,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1041.2025,800.925,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,1,70,0,24,39.32771104,,,,,,,,,,,,39.1622368,,46.194892,,,49.1596388,,,,,,,,,,,133.5437234
466,[30],B24,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1281.48,560.6475,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,1,23.88888889,0,24,9.04592512,,,,,,,,,,,,,,6.0673888,,,11.3074064,,,,,,,,,,,104.6687234
467,[30],B25,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1281.48,560.6475,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,1,32.22222222,0,24,15.7200528,,,,,,,,,,,,16.1337384,,19.0295376,,,19.650066,,,,,,,,,,,109.3029827
468,[30],B26,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1281.48,560.6475,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,1,46.11111111,0,24,24.71081984,,,,,,,,,,,,29.0958872,,29.7164156,,,30.8885248,,,,,,,,,,,118.2150197
469,[30],B27,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1281.48,560.6475,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,1,55,0,24,22.39418048,,,,,,,,,,,,21.4427036,,23.3732364,,,27.9927256,,,,,,,,,,,123.9187234
470,[30],B28,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,1281.48,560.6475,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,1,70,0,24,31.1643152,,,,,,,,,,,,22.40797,,34.6806428,,,38.955394,,,,,,,,,,,133.5437234
471,[30],B29,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,961.11,881.0175,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,1,46.11111111,0,24,23.38702592,,,,,,,,,,,,29.0269396,,29.1648348,,,29.2337824,,,,,,,,,,,118.2150197
472,[30],B30,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,961.11,881.0175,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,1,55,0,24,21.29101888,,,,,,,,,,,,19.4432232,,24.6142932,,,26.6137736,,,,,,,,,,,123.9187234
473,[30],B31,56.59,23.89,4.82,9.42,1.83,0.24,1.03,0.39,0,0,0,0,,0,,408.47175,,,,,961.11,881.0175,1842.1275,2.6,2.6,104.12025,10.60%,26.50%,62.90%,41.6481,14,0.356862745,0.4,2.5,4.5,0.3,16.0185,0.015686275,6.4074,103.6797413,1,70,0,24,28.18577888,,,,,,,,,,,,22.40797,,32.1295816,,,35.2322236,,,,,,,,,,,133.5437234
