Idx_Sample,Ref.,Mixture Code in Ref,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,OPC (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),MK (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg in 1m3 mix),Total aggregates (kg in 1m3 mix),Coarse Agg density (kg/m3),Fine Agg density (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Na2O (l),SiO2 (l),H2O,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,AL/B,SH/SS,Ms,Ag/B,W/B,Additional water (kg in 1m3 mix),Sp/B,Superplasticizer (kg in 1m3 mix),Total water (in solutions + additional) (kg in 1m3 mix),Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),7d CS,28d CS,1-d Cubic compressive strength (MPa),3-d Cubic compressive strength (MPa),7-d Cubic compressive strength (MPa),14-d Cubic compressive strength (MPa) ,21-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),56-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,180-d Cubic compressive strength (MPa),365-d Cubic compressive strength (MPa) ,1-d Cylindrical compressive strength (MPa),2-d Cylindrical compressive strength (MPa),3-d Cylindrical compressive strength (MPa),4-d Cylindrical compressive strength (MPa),5-d Cylindrical compressive strength (MPa),7-d Cylindrical compressive strength (MPa),12-d Cylindrical compressive strength (MPa),14-d Cylindrical compressive strength (MPa),21-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Cylindrical compressive strength (MPa) ,365-d Cylindrical compressive strength (MPa),Slump (mm),flowtable,"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
1,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,48,14.70%,29.40%,56%,120,8,0.352941176,2.5,2.0,3.9,0.2,0,0,0,108.432,1,60,0,24,13.6, ,,,,,,,,,,,,,,,,17,,,,,,,,,,,124.0487333
2,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,0.166666667,30,0,24,6.4,,,,,,,,,,,,,,,,,8,,,,,,,,,,,83.92352222
3,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,0.166666667,60,0,24,19.2,,,,,,,,,,,,,,,,,24,,,,,,,,,,,87.13185556
4,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,0.166666667,90,0,24,29.6,,,,,,,,,,,,,,,,,37,,,,,,,,,,,90.3401889
5,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,1,30,0,24,16,,,,,,,,,,,,,,,,,20,,,,,,,,,,,86.59713333
6,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,1,60,0,24,45.6,,,,,,,,,,,,,,,,,57,,,,,,,,,,,105.8471333
7,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,1,90,0,24,52.8,,,,,,,,,,,,,,,,,66,,,,,,,,,,,125.0971333
8,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,48,14.70%,29.40%,56%,120,14,0.352941176,2.5,2.0,3.9,0.2,0,0,0,79.632,1,60,0,24,38.4,,,,,,,,,,,,,,,,,48,,,,,,,,,,,179.2007333
9,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,2,30,0,24,39.2,,,,,,,,,,,,,,,,,49,,,,,,,,,,,111.8662667
10,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,0.166666667,60,0,24,20,,,,,,,,,,,,,,,,,25,,,,,,,,,,,109.1926556
11,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,0.166666667,90,0,24,24,,,,,,,,,,,,,,,,,30,,,,,,,,,,,112.4009889
12,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,1,30,0,24,23.2,,,,,,,,,,,,,,,,,29,,,,,,,,,,,108.6579333
13,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,1,60,0,24,54.4,,,,,,,,,,,,,,,,,68,,,,,,,,,,,127.9079333
14,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,1,90,0,24,56,,,,,,,,,,,,,,,,,70,,,,,,,,,,,147.1579333
15,[2],FA-III,48,29,12.7,1.78,0.89,0.39,0.55,0.5,1.67,1.69,0,0,,1.61,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,51.5,14,0.378676471,0.5,2.0,4.5,0.2,16.5,0,0,96.737,1,60,0,24,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,125.2693333
16,[2],FA-III,48,29,12.7,1.78,0.89,0.39,0.55,0.5,1.67,1.69,0,0,,1.61,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,51.5,14,0.378676471,0.5,2.0,4.5,0.2,16.5,0.01004902,4.1,99.197,1,60,0,24,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,132.9773333
17,[2],FA-III,48,29,12.7,1.78,0.89,0.39,0.55,0.5,1.67,1.69,0,0,,1.61,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,51.5,14,0.378676471,0.5,2.0,4.5,0.2,16.5,0.020098039,8.2,101.657,1,60,0,24,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,140.6853333
18,[2],FA-III,48,29,12.7,1.78,0.89,0.39,0.55,0.5,1.67,1.69,0,0,,1.61,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,51.5,14,0.378676471,0.5,2.0,4.5,0.3,16.5,0.03995098,16.3,106.517,1,60,0,24,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,155.9133333
19,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,0,24,32,,,,,,,,,,,,,,,,,40,,,,,,,,,209,,119.1959333
20,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,1,24,32.8,,,,,,,,,,,,,,,,,41,,,,,,,,,209,,119.1959333
21,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,2,24,38.4,,,,,,,,,,,,,,,,,48,,,,,,,,,209,,119.1959333
22,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,3,24,40,,,,,,,,,,,,,,,,,50,,,,,,,,,209,,119.1959333
23,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,4,24,39.2,,,,,,,,,,,,,,,,,49,,,,,,,,,209,,119.1959333
24,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,17.6,0.01495098,6.1,96.877,1,60,0,24,34.4,,,,,,,,,,,,,,,,,43,,,,,,,,,215,,125.4771333
25,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,17.6,0.01495098,6.1,96.877,1,60,1,24,42.4,,,,,,,,,,,,,,,,,53,,,,,,,,,215,,125.4771333
26,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,17.6,0.01495098,6.1,96.877,1,60,2,24,44.8,,,,,,,,,,,,,,,,,56,,,,,,,,,215,,125.4771333
27,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,17.6,0.01495098,6.1,96.877,1,60,3,24,45.6,,,,,,,,,,,,,,,,,57,,,,,,,,,215,,125.4771333
28,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,17.6,0.01495098,6.1,96.877,1,60,4,24,45.6,,,,,,,,,,,,,,,,,57,,,,,,,,,215,,125.4771333
29,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,17.6,0.01495098,6.1,96.877,1,60,5,24,46.4,,,,,,,,,,,,,,,,,58,,,,,,,,,215,,125.4771333
30,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,0,24,30.4,,,,,,,,,,,,,,,,,38,,,,,,,,,225,,119.1959333
31,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,1,24,42.4,,,,,,,,,,,,,,,,,53,,,,,,,,,225,,119.1959333
32,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,2,24,44.8,,,,,,,,,,,,,,,,,56,,,,,,,,,225,,119.1959333
33,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,3,24,47.2,,,,,,,,,,,,,,,,,59,,,,,,,,,225,,119.1959333
34,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,4,24,47.2,,,,,,,,,,,,,,,,,59,,,,,,,,,225,,119.1959333
35,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.3,0.01495098,6.1,96.857,1,60,5,24,47.2,,,,,,,,,,,,,,,,,59,,,,,,,,,225,,119.1959333
36,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,60,0,24,50.4,,,,,,,,,,,,,,,,,63,,,,,,,,,60,,106.6335333
37,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,60,1,24,59.2,,,,,,,,,,,,,,,,,74,,,,,,,,,60,,106.6335333
38,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,60,2,24,58.4,,,,,,,,,,,,,,,,,73,,,,,,,,,60,,106.6335333
39,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,60,3,24,60.8,,,,,,,,,,,,,,,,,76,,,,,,,,,60,,106.6335333
40,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,60,4,24,60,,,,,,,,,,,,,,,,,75,,,,,,,,,60,,106.6335333
41,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,60,5,24,61.6,,,,,,,,,,,,,,,,,77,,,,,,,,,60,,106.6335333
42,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,0,0.020098039,8.2,80.537,1,30,0,24,35.2,,,,,,,,,,,,,,,,,44,,,,,,,,,,,110.1751333
43,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,0,0.020098039,8.2,80.537,1,45,0,24,44,,,,,,,,,,,,,,,,,55,,,,,,,,,,,119.8001333
44,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,0,0.020098039,8.2,80.537,1,60,0,24,47.2,,,,,,,,,,,,,,,,,59,,,,,,,,,,,129.4251333
45,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,0,0.020098039,8.2,80.537,1,75,0,24,52,,,,,,,,,,,,,,,,,65,,,,,,,,,,,139.0501333
46,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,0,0.020098039,8.2,80.537,1,90,0,24,56.8,,,,,,,,,,,,,,,,,71,,,,,,,,,,,148.6751333
47,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,10.7,0.020098039,8.2,91.237,1,30,0,24,28,,,,,,,,,,,,,,,,,35,,,,,,,,,,,110.1751333
48,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,10.7,0.020098039,8.2,91.237,1,45,0,24,33.6,,,,,,,,,,,,,,,,,42,,,,,,,,,,,119.8001333
49,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,10.7,0.020098039,8.2,91.237,1,75,0,24,48,,,,,,,,,,,,,,,,,60,,,,,,,,,,,139.0501333
50,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,10.7,0.020098039,8.2,91.237,1,90,0,24,47.2,,,,,,,,,,,,,,,,,59,,,,,,,,,,,148.6751333
51,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,21.3,0.020098039,8.2,101.837,1,30,0,24,25.6,,,,,,,,,,,,,,,,,32,,,,,,,,,,,110.1751333
52,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,21.3,0.020098039,8.2,101.837,1,45,0,24,29.6,,,,,,,,,,,,,,,,,37,,,,,,,,,,,119.8001333
53,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,21.3,0.020098039,8.2,101.837,1,60,0,24,35.2,,,,,,,,,,,,,,,,,44,,,,,,,,,,,129.4251333
54,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,21.3,0.020098039,8.2,101.837,1,75,0,24,35.2,,,,,,,,,,,,,,,,,44,,,,,,,,,,,139.0501333
55,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,21.3,0.020098039,8.2,101.837,1,90,0,24,35.2,,,,,,,,,,,,,,,,,44,,,,,,,,,,,148.6751333
56,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,60,0,24,44,,,,,,,,,,,,,,,,,55,,,,,,,,,32,,106.6335333
57,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,60,0,24,37.6,,,,,,,,,,,,,,,,,47,,,,,,,,,32,,106.6335333
58,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,10,0.352941176,0.398058252,2.0,4.5,0.2,7.5,0.01495098,6.1,93.337,1,60,0,24,42.4,,,,,,,,,,,,,,,,,53,,,,,,,,,112,,112.9147333
59,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,10,0.352941176,0.398058252,2.0,4.5,0.2,7.5,0.01495098,6.1,93.337,1,60,0,24,36,,,,,,,,,,,,,,,,,45,,,,,,,,,112,,112.9147333
60,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.4,0.01495098,6.1,96.957,1,60,0,24,40.8,,,,,,,,,,,,,,,,,51,,,,,,,,,162,,119.1959333
61,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,12,0.352941176,0.398058252,2.0,4.5,0.2,14.4,0.01495098,6.1,96.957,1,60,0,24,33.6,,,,,,,,,,,,,,,,,42,,,,,,,,,162,,119.1959333
62,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,20.7,0.01495098,6.1,99.977,1,60,0,24,36,,,,,,,,,,,,,,,,,45,,,,,,,,,214,,125.4771333
63,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,20.7,0.01495098,6.1,99.977,1,60,0,24,32,,,,,,,,,,,,,,,,,40,,,,,,,,,214,,125.4771333
64,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,16,0.352941176,0.398058252,2.0,4.5,0.3,26.5,0.01495098,6.1,102.497,1,60,0,24,37.6,,,,,,,,,,,,,,,,,47,,,,,,,,,240,,131.7583333
65,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,16,0.352941176,0.398058252,2.0,4.5,0.3,26.5,0.01495098,6.1,102.497,1,60,0,24,32,,,,,,,,,,,,,,,,,40,,,,,,,,,240,,131.7583333
68,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,79.277,1,90,0,24,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,144.7271333
69,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,90,0,24,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,125.8835333
70,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,90,0,24,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,125.8835333
71,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1294,554,1848,,,103,14.70%,29.40%,56%,41,8,0.352941176,0.398058252,2.0,4.5,0.2,0,0.01495098,6.1,89.117,1,90,0,24,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,125.8835333
72,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,10.3,0.01495098,6.1,89.577,1,60,3,24,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,125.4771333
73,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,14,0.352941176,0.398058252,2.0,4.5,0.2,15.5,0.01495098,6.1,94.777,1,60,3,24,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,125.4771333
74,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,0,0,,1.1,,408,,,,,1201,647,1848,,,103,14.70%,29.40%,56%,41,16,0.352941176,0.398058252,2.0,4.5,0.2,18.5,0.01495098,6.1,94.497,1,60,3,24,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,131.7583333
