,n_samples,prior_mae_28d,posterior_mae_28d,avg_improvement_28d,avg_improvement_pct_28d,pct_improved,pct_significant_improvement,avg_uncertainty_reduction_28d,avg_uncertainty_reduction_pct_28d,median_prior_error_28d,median_posterior_error_28d
Global Scaler,100.0,36.12754534263432,8.200812457917479,27.92673288471685,79.2282357312175,100.0,99.0,6.904905796051025,91.33514362573624,34.18291652724743,4.0385686492919906
Max Normalization,100.0,17.94787509467247,6.183548773119429,11.764326321553039,59.11987611451545,95.0,91.0,6.583744049072266,86.52900522586424,16.02497371673584,3.74847615661621
